config,ann_return,sharpe,max_drawdown,monthly_win_rate,ann_turnover,ann_cost,total_return,delist_count,ic_mean,ic_ir,ic_pos_rate,n_rebalances
top50_cost0.003(主),0.175339,0.738053,-0.363478,0.611111,20.603434,0.061810,0.593732,1,0.106914,1.185703,0.888889,36
top50_cost0.0015,0.212131,0.852616,-0.358279,0.666667,20.603434,0.030905,0.741941,1,0.106914,1.185703,0.888889,36
top30_cost0.003,0.203507,0.819940,-0.345624,0.611111,21.012727,0.063038,0.706429,1,0.106914,1.185703,0.888889,36
top100_cost0.003,0.142208,0.651157,-0.359215,0.555556,19.761192,0.059284,0.467542,1,0.106914,1.185703,0.888889,36
