factor,n_months,mean_ic,ic_std,IR,ic_pos_rate,direction,eff_mean_ic,eff_IR,selected,weight
ret_1m_cs,34,0.053284,0.083794,0.635893,0.705882,1,0.053284,0.635893,True,0.138590
low_vol_cs,34,0.090015,0.101554,0.886377,0.823529,1,0.090015,0.886377,True,0.193181
ivol_cs,34,0.094351,0.094719,0.996122,0.852941,1,0.094351,0.996122,True,0.217100
turn_20d_cs,34,0.098692,0.091809,1.074971,0.852941,1,0.098692,1.074971,True,0.234284
oi_spread_cs,34,0.058346,0.058642,0.994954,0.852941,1,0.058346,0.994954,True,0.216845
