,Q1,Q2,Q3,Q4,Q5
2023,0.221574,0.182371,0.053970,-0.010830,-0.062626
2024,0.001140,0.026160,0.016078,0.011562,0.093623
2025,0.568234,0.454367,0.374183,0.310778,0.239404
