trade_date,code,side,asset_type,commission,slippage,tax,transfer_fee,total_fee
20230103,512100.SH,BUY,ETF,348.7657391999999,232.464,0.0,0.0,581.2297391999999
20230104,512100.SH,BUY,ETF,68.47249176,45.6392,0.0,0.0,114.11169176
20230106,512100.SH,SELL,ETF,88.87102223999999,59.2592,0.0,0.0,148.13022224
20230109,512100.SH,SELL,ETF,342.0395784,228.072,0.0,0.0,570.1115784
20230112,512100.SH,BUY,ETF,31.707940319999995,21.1344,0.0,0.0,52.84234031999999
20230113,512100.SH,BUY,ETF,28.632445343999997,19.08448,0.0,0.0,47.716925343999996
20230117,512100.SH,BUY,ETF,36.542266992,24.356640000000002,0.0,0.0,60.89890699200001
20230119,512100.SH,BUY,ETF,54.32148212399999,36.20708,0.0,0.0,90.52856212399999
20230120,512100.SH,SELL,ETF,56.602817171999995,37.742760000000004,0.0,0.0,94.34557717199999
20230130,512100.SH,SELL,ETF,42.598858524,28.404920000000004,0.0,0.0,71.00377852400001
20230131,512100.SH,BUY,ETF,70.69293576,47.119200000000006,0.0,0.0,117.81213576
20230201,512100.SH,BUY,ETF,120.22083936000001,80.1312,0.0,0.0,200.35203936000002
20230202,512100.SH,BUY,ETF,185.52913840799997,123.66135999999999,0.0,0.0,309.19049840799994
20230206,512100.SH,SELL,ETF,55.676362499999996,37.125,0.0,0.0,92.8013625
20230207,512100.SH,SELL,ETF,107.160583596,71.45468000000001,0.0,0.0,178.615263596
20230213,512100.SH,SELL,ETF,90.442047972,60.30676,0.0,0.0,150.748807972
20230214,512100.SH,BUY,ETF,34.703559324,23.131080000000004,0.0,0.0,57.834639324
20230215,512100.SH,SELL,ETF,64.09123918799999,42.736039999999996,0.0,0.0,106.82727918799998
20230216,512100.SH,BUY,ETF,35.9366859,23.953,0.0,0.0,59.8896859
20230217,512100.SH,SELL,ETF,190.73286579599997,127.18068000000001,0.0,0.0,317.913545796
20230227,512100.SH,BUY,ETF,35.27985455999999,23.515199999999997,0.0,0.0,58.79505455999998
20230228,512100.SH,SELL,ETF,35.189080776,23.46408,0.0,0.0,58.65316077599999
20230303,512100.SH,BUY,ETF,54.11234030399999,36.06768,0.0,0.0,90.180020304
20230306,512100.SH,SELL,ETF,53.954646911999994,35.97696,0.0,0.0,89.93160691199999
20230309,512100.SH,BUY,ETF,60.72620281199999,40.476040000000005,0.0,0.0,101.202242812
20230310,512100.SH,BUY,ETF,92.17951221599999,61.44072,0.0,0.0,153.62023221599998
20230316,512100.SH,BUY,ETF,63.054848447999994,42.02816000000001,0.0,0.0,105.083008448
20230317,512100.SH,BUY,ETF,30.13172514,20.0838,0.0,0.0,50.21552514
20230320,512100.SH,BUY,ETF,63.72254195999999,42.4732,0.0,0.0,106.19574195999999
20230322,512100.SH,BUY,ETF,58.51890144,39.0048,0.0,0.0,97.52370144
20230323,512100.SH,SELL,ETF,72.550956906,48.37698,0.0,0.0,120.927936906
20230324,512100.SH,SELL,ETF,60.114454703999996,40.084320000000005,0.0,0.0,100.198774704
20230327,512100.SH,SELL,ETF,237.83457356999998,158.5881,0.0,0.0,396.42267357
20230328,512100.SH,BUY,ETF,31.153969547999996,20.76516,0.0,0.0,51.919129548
20230329,512100.SH,SELL,ETF,30.926663429999994,20.6219,0.0,0.0,51.548563429999994
