trade_date,nav,total_equity,stock_val,etf_val,cash,futures_margin,im_lots
20221230,1.0,2200000.0,0.0,0.0,2200000.0,0.0,0
20230103,1.012218400410441,2226880.4809029703,0.0,1189696.0,1037184.4809029704,0.0,0
20230104,1.012196917423924,2226833.218332633,0.0,1417892.0,808941.2183326328,0.0,0
20230105,1.0190141240812618,2241831.072978776,0.0,1432823.0,809008.072978776,0.0,0
20230106,1.0197337627083711,2243414.2779584164,0.0,1138167.0,1105247.2779584166,0.0,0
20230109,1.0205557757462278,2245222.706641701,0.0,0.0,2245222.706641701,0.0,0
20230110,1.0206401191987688,2245408.2622372913,0.0,0.0,2245408.2622372913,0.0,0
20230111,1.0207244696218432,2245593.833168055,0.0,0.0,2245593.833168055,0.0,0
20230112,1.0208179270475741,2245799.439504663,0.0,105753.6,2140045.839504663,0.0,0
20230113,1.0214206798997874,2247125.495779532,0.0,202380.80000000002,2044744.695779532,0.0,0
20230116,1.0224851286111238,2249467.2829444725,0.0,204553.6,2044913.6829444724,0.0,0
20230117,1.022360870640028,2249193.915408062,0.0,325965.4,1923228.515408062,0.0,0
20230118,1.022883299960667,2250343.2599134673,0.0,326955.8,1923387.4599134675,0.0,0
20230119,1.025681054503479,2256498.3199076536,0.0,514092.80000000005,1742405.5199076536,0.0,0
20230120,1.027126892350607,2259679.163171335,0.0,328494.60000000003,1931184.5631713353,0.0,0
20230130,1.0282077696022693,2262057.0931249927,0.0,188747.6,2073309.4931249926,0.0,0
20230131,1.028864294727675,2263501.448400885,0.0,425753.9,1837747.5484008847,0.0,0
20230201,1.034706339863667,2276353.947700067,0.0,839344.0,1437009.947700067,0.0,0
20230202,1.0352509513935866,2277552.0930658905,0.0,1459090.5,818461.5930658905,0.0,0
20230203,1.0345621065999377,2276036.634519863,0.0,1457507.4,818529.2345198629,0.0,0
20230206,1.032934369745952,2272455.6134410948,0.0,1268311.2,1004144.413441095,0.0,0
20230207,1.03440131694763,2275682.897284786,0.0,914331.2,1361351.6972847865,0.0,0
20230208,1.031595548040691,2269510.2056895206,0.0,908046.0,1361464.2056895208,0.0,0
20230209,1.039916692451123,2287816.7233924703,0.0,926239.9999999999,1361576.7233924703,0.0,0
20230210,1.0378627501792745,2283298.0503944037,0.0,921608.8,1361689.2503944035,0.0,0
20230213,1.0398886116264991,2287754.945578298,0.0,624545.2,1663209.745578298,0.0,0
20230214,1.0406009105511844,2289322.0032126056,0.0,741697.6,1547624.4032126055,0.0,0
20230215,1.0405677861220994,2289249.129468619,0.0,527905.8,1761343.3294686186,0.0,0
20230216,1.0353579102107693,2277787.4024636922,0.0,636133.2999999999,1641654.1024636924,0.0,0
20230217,1.0351944502440067,2277427.790536815,0.0,0.0,2277427.790536815,0.0,0
20230220,1.0352800035043574,2277616.0077095865,0.0,0.0,2277616.0077095865,0.0,0
20230221,1.0353655638352257,2277804.2404374965,0.0,0.0,2277804.2404374965,0.0,0
20230222,1.0354511312371957,2277992.4887218303,0.0,0.0,2277992.4887218303,0.0,0
20230223,1.0355367057108515,2278180.7525638733,0.0,0.0,2278180.7525638733,0.0,0
20230224,1.035622287256778,2278369.0319649116,0.0,0.0,2278369.0319649116,0.0,0
20230227,1.0355605499944462,2278233.209987782,0.0,117320.4,2160912.809987782,0.0,0
20230228,1.03561947078,2278362.835716,0.0,0.0,2278362.835716,0.0,0
20230301,1.0357050591660146,2278551.1301652323,0.0,0.0,2278551.1301652323,0.0,0
20230302,1.0357906546254498,2278739.4401759896,0.0,0.0,2278739.4401759896,0.0,0
20230303,1.0357106701256182,2278563.47427636,0.0,180079.19999999998,2098484.27427636,0.0,0
20230306,1.0356670137281363,2278467.4302018997,0.0,0.0,2278467.4302018997,0.0,0
20230307,1.0357526060433204,2278655.7332953047,0.0,0.0,2278655.7332953047,0.0,0
20230308,1.0358382054322495,2278844.051950949,0.0,0.0,2278844.051950949,0.0,0
20230309,1.0361047045123277,2279430.349927121,0.0,202896.1,2076534.249927121,0.0,0
20230310,1.033486337578439,2273669.942672566,0.0,504346.7,1769323.2426725659,0.0,0
20230313,1.034651303515429,2276232.8677339437,0.0,506763.4,1769469.4677339438,0.0,0
20230314,1.0326052749454717,2271731.6048800377,0.0,502115.9,1769615.7048800376,0.0,0
20230315,1.0337702518690208,2274294.554111846,0.0,504532.6,1769761.954111846,0.0,0
20230316,1.0290820257859585,2263980.456729109,0.0,704335.5,1559644.956729109,0.0,0
20230317,1.0316454701092874,2269620.034240432,0.0,810323.7000000001,1459296.3342404321,0.0,0
20230320,1.0296739008253197,2265282.5818157033,0.0,1018355.4,1246927.1818157034,0.0,0
20230321,1.0355888334767778,2278295.4336489113,0.0,1031265.2000000001,1247030.2336489114,0.0,0
20230322,1.0377106566143632,2282963.444551599,0.0,1230967.8,1051995.6445515992,0.0,0
20230323,1.03935292677139,2286576.438897058,0.0,992709.9,1293866.538897058,0.0,0
20230324,1.039659966694989,2287251.926728976,0.0,792940.5,1494311.4267289757,0.0,0
20230327,1.0395656819900247,2287044.5003780546,0.0,0.0,2287044.5003780546,0.0,0
20230328,1.039178549206919,2286192.8082552217,0.0,102845.6,2183347.2082552216,0.0,0
20230329,1.0393609630890446,2286594.1187958983,0.0,0.0,2286594.1187958983,0.0,0
20230330,1.0394468606893001,2286783.09351646,0.0,0.0,2286783.09351646,0.0,0
20230331,1.0395327653885307,2286972.0838547675,0.0,0.0,2286972.0838547675,0.0,0
20230403,1.039618677187323,2287161.0898121106,0.0,0.0,2287161.0898121106,0.0,0
20230404,1.039704596086264,2287350.111389781,0.0,0.0,2287350.111389781,0.0,0
20230406,1.0402267962638654,2288498.9517805036,0.0,199612.8,2088886.1517805038,0.0,0
20230407,1.0419906913685313,2292379.5210107686,0.0,450684.0,1841695.5210107688,0.0,0
20230410,1.0397612509747205,2287474.752144385,0.0,535727.5,1751747.2521443854,0.0,0
20230411,1.0396633281592935,2287259.321950446,0.0,320995.19999999995,1966264.121950446,0.0,0
20230412,1.0398858488944696,2287748.867567833,0.0,0.0,2287748.867567833,0.0,0
20230413,1.039971789873717,2287937.9377221777,0.0,0.0,2287937.9377221777,0.0,0
20230414,1.040057737955525,2288127.0235021547,0.0,0.0,2288127.0235021547,0.0,0
20230417,1.04014369314048,2288316.124909056,0.0,0.0,2288316.124909056,0.0,0
20230418,1.0402296554291692,2288505.2419441724,0.0,0.0,2288505.2419441724,0.0,0
20230419,1.04031562482218,2288694.374608796,0.0,0.0,2288694.374608796,0.0,0
20230420,1.0404016013200992,2288883.522904218,0.0,0.0,2288883.522904218,0.0,0
20230421,1.040487584923514,2289072.686831731,0.0,0.0,2289072.686831731,0.0,0
20230424,1.040573575633012,2289261.866392626,0.0,0.0,2289261.866392626,0.0,0
20230425,1.04065957344918,2289451.0615881956,0.0,0.0,2289451.0615881956,0.0,0
20230426,1.0407455783726054,2289640.272419732,0.0,0.0,2289640.272419732,0.0,0
20230427,1.0408315904038759,2289829.498888527,0.0,0.0,2289829.498888527,0.0,0
20230428,1.0409176095435788,2290018.740995873,0.0,0.0,2290018.740995873,0.0,0
20230504,1.0410036357923014,2290207.998743063,0.0,0.0,2290207.998743063,0.0,0
20230505,1.041089669150631,2290397.2721313885,0.0,0.0,2290397.2721313885,0.0,0
20230508,1.0415966481130114,2291512.6258486253,0.0,127187.20000000001,2164325.425848625,0.0,0
20230509,1.0393612982165534,2286594.8560764175,0.0,358248.0,1928346.8560764177,0.0,0
20230510,1.039057498506307,2285926.4967138753,0.0,0.0,2285926.4967138753,0.0,0
20230511,1.0391433710268447,2286115.4162590583,0.0,0.0,2286115.4162590583,0.0,0
20230512,1.039229250644285,2286304.351417427,0.0,0.0,2286304.351417427,0.0,0
20230515,1.0393151373592142,2286493.302190271,0.0,0.0,2286493.302190271,0.0,0
20230516,1.039401031172219,2286682.268578882,0.0,0.0,2286682.268578882,0.0,0
20230517,1.0394869320838862,2286871.2505845497,0.0,0.0,2286871.2505845497,0.0,0
20230518,1.0395728400948023,2287060.248208565,0.0,0.0,2287060.248208565,0.0,0
20230519,1.039658755205554,2287249.261452219,0.0,0.0,2287249.261452219,0.0,0
20230522,1.0397446774167283,2287438.290316802,0.0,0.0,2287438.290316802,0.0,0
20230523,1.0398306067289114,2287627.334803605,0.0,0.0,2287627.334803605,0.0,0
20230524,1.0399165431426907,2287816.3949139193,0.0,0.0,2287816.3949139193,0.0,0
20230525,1.0397691705470309,2287492.1752034677,0.0,379454.0,1908038.1752034675,0.0,0
20230526,1.0436392896114903,2296006.437145279,0.0,827241.0,1468765.4371452786,0.0,0
20230529,1.0424890358239693,2293475.8788127326,0.0,1033453.3,1260022.5788127326,0.0,0
20230530,1.044510869504616,2297923.912910155,0.0,1037797.2000000001,1260126.712910155,0.0,0
20230531,1.0446797602526747,2298295.472555884,0.0,878348.9,1419946.572555884,0.0,0
20230601,1.0456442834146789,2300417.4235122935,0.0,880353.4999999999,1420063.9235122935,0.0,0
20230602,1.0481997774142255,2306039.510311296,0.0,790594.0,1515445.5103112964,0.0,0
20230605,1.048295804546227,2306250.770001699,0.0,523899.6,1782351.1700016991,0.0,0
20230606,1.0453075696975744,2299676.6533346637,0.0,303966.0,1995710.6533346637,0.0,0
20230607,1.0456438358931637,2300416.43896496,0.0,0.0,2300416.43896496,0.0,0
20230608,1.0453827217367704,2299841.987820895,0.0,158004.59999999998,2141837.387820895,0.0,0
20230609,1.0459630905342092,2301118.79917526,0.0,159104.4,2142014.39917526,0.0,0
20230612,1.0468888720332508,2303155.5184731516,0.0,416467.2,1886688.3184731514,0.0,0
20230613,1.0479344522940197,2305455.7950468436,0.0,556398.6,1749057.1950468435,0.0,0
20230614,1.0491382160628506,2308104.0753382714,0.0,769184.8,1538919.2753382714,0.0,0
20230615,1.0511855721588437,2312608.258749456,0.0,773561.7999999999,1539046.4587494563,0.0,0
20230616,1.0525629932092953,2315638.5850604493,0.0,404576.2,1911062.3850604494,0.0,0
20230619,1.0524892921598719,2315476.442751718,0.0,0.0,2315476.442751718,0.0,0
20230620,1.052550376880021,2315610.8291360466,0.0,97770.4,2217840.4291360467,0.0,0
20230621,1.0517567826061347,2313864.9217334962,0.0,95841.2,2218023.721733496,0.0,0
20230626,1.0516399993325463,2313607.998531602,0.0,0.0,2313607.998531602,0.0,0
20230627,1.0517269117291854,2313799.205804208,0.0,0.0,2313799.205804208,0.0,0
20230628,1.0518138313086671,2313990.428879068,0.0,0.0,2313990.428879068,0.0,0
20230629,1.0522047409665838,2314850.4301264845,0.0,129852.79999999999,2184997.6301264847,0.0,0
20230630,1.0548801845534344,2320736.4060175554,0.0,341947.39999999997,1978789.0060175555,0.0,0
20230703,1.0546037919541111,2320128.3422990446,0.0,341175.8,1978952.5422990446,0.0,0
20230704,1.0553795873163312,2321835.0920959287,0.0,342719.0,1979116.0920959287,0.0,0
20230705,1.0546287800552978,2320183.316121655,0.0,184885.5,2135297.816121655,0.0,0
