trade_date,nav_b0,nav_b1,nav_bh,equity_b0,equity_b1,cash_b0,cash_b1,etf_val_b0,etf_val_b1
20221230,1.0,1.0,1.0,2200000.0,2200000.0,2200000.0,2200000.0,0.0,0.0
20230103,1.012218400410441,1.012218400410441,1.023041192959435,2226880.4809029703,2226880.4809029703,1037184.4809029704,1037184.4809029704,1189696.0,1189696.0
20230104,1.0121330080988138,1.012196917423924,1.0230411933886052,2226692.6178173902,2226833.218332633,567528.21781739,808941.2183326328,1659164.4000000001,1417892.0
20230105,1.018764117934382,1.0190141240812618,1.033814193817811,2241281.0594556406,2241831.072978776,893701.9594556405,809008.072978776,1347579.1,1432823.0
20230106,1.0192073782813773,1.0197337627083711,1.035410194247052,2242256.23221903,2243414.2779584164,1395767.2322190301,1105247.2779584166,846489.0000000001,1138167.0
20230109,1.0198402878590718,1.0205557757462278,1.0401981946763286,2243648.633289958,2245222.706641701,2243648.633289958,2245222.706641701,0.0,0.0
20230110,1.0199245721803825,1.0206401191987688,1.0417941951056406,2243834.058796841,2245408.2622372913,2243834.058796841,2245408.2622372913,0.0,0.0
20230111,1.0200088634673394,1.0207244696218432,1.0342131955349882,2244019.4996281466,2245593.833168055,2244019.4996281466,2245593.833168055,0.0,0.0
20230112,1.0201113394796142,1.0208179270475741,1.0342131959643712,2244244.946855151,2245799.439504663,2032996.946855151,2140045.839504663,211248.0,105753.6
20230113,1.0209827718832252,1.0214206798997874,1.04059719639379,2246162.0981430956,2247125.495779532,1947546.0981430956,2044744.695779532,298616.0,202380.80000000002
20230116,1.022179515329416,1.0224851286111238,1.0517691968232439,2248794.933724715,2249467.2829444725,2018408.5337247148,2044913.6829444724,230386.40000000002,204553.6
20230117,1.0219637840246591,1.022360870640028,1.0505721972527333,2248320.32485425,2249193.915408062,1798077.3248542498,1923228.515408062,450243.0,325965.4
20230118,1.0226558370881274,1.022883299960667,1.0537641976822583,2249842.84159388,2250343.2599134673,1764427.0415938804,1923387.4599134675,485415.8,326955.8
20230119,1.0264160630503893,1.025681054503479,1.066133198111819,2258115.3387108566,2256498.3199076536,1560723.3387108564,1742405.5199076536,697392.0,514092.80000000005
20230120,1.0270683248623202,1.027126892350607,1.076108198541415,2259550.3146971045,2259679.163171335,2116069.9146971046,1931184.5631713353,143480.4,328494.60000000003
20230130,1.027672116987488,1.0282077696022693,1.0804971989710466,2260878.6573724737,2262057.0931249927,2208072.6573724737,2073309.4931249926,52806.0,188747.6
20230131,1.0285895123201416,1.028864294727675,1.0840881994007134,2262896.9271043115,2263501.448400885,1602122.5271043114,1837747.5484008847,660774.4,425753.9
20230201,1.0372509493325557,1.034706339863667,1.1016441998304163,2281952.0885316227,2276353.947700067,1034532.2885316228,1437009.947700067,1247419.8,839344.0
20230202,1.0380266557793325,1.0352509513935866,1.1032402002601542,2283658.6427145316,2277552.0930658905,191659.6427145317,818461.5930658905,2091999.0,1459090.5
20230203,1.036360827026594,1.0345621065999377,1.1020432006899277,2279993.819458507,2276036.634519863,946776.4194585071,818529.2345198629,1333217.4,1457507.4
20230206,1.0347865592319214,1.032934369745952,1.0996492011197367,2276530.430310227,2272455.6134410948,1195076.0303102268,1004144.413441095,1081454.4,1268311.2
