trade_date,code,asset_type,side,target_shares,order_shares,reason
20231206,512100.SH,ETF,BUY,331000,177600,timing
20231208,512100.SH,ETF,SELL,270100,60900,timing
20231211,512100.SH,ETF,SELL,0,270100,timing
20231214,512100.SH,ETF,BUY,120900,120900,timing
20231215,512100.SH,ETF,BUY,273300,152400,timing
20231218,512100.SH,ETF,BUY,337000,63700,timing
20231219,512100.SH,ETF,SELL,233400,103600,timing
20231220,512100.SH,ETF,SELL,0,233400,timing
20231228,512100.SH,ETF,BUY,74000,74000,timing
20231229,512100.SH,ETF,BUY,214700,140700,timing
20240102,512100.SH,ETF,BUY,376800,162100,timing
20240103,512100.SH,ETF,BUY,580400,203600,timing
20240105,512100.SH,ETF,SELL,396700,183700,timing
20240108,512100.SH,ETF,SELL,0,396700,timing
20240112,512100.SH,ETF,BUY,62900,62900,timing
20240118,512100.SH,ETF,BUY,151900,89000,timing
20240119,512100.SH,ETF,BUY,247800,95900,timing
20240123,512100.SH,ETF,SELL,155300,92500,timing
20240125,512100.SH,ETF,BUY,343800,188500,timing
20240126,512100.SH,ETF,BUY,673900,330100,timing
20240129,512100.SH,ETF,BUY,733800,59900,timing
20240130,512100.SH,ETF,SELL,487100,246700,timing
20240131,512100.SH,ETF,SELL,0,487100,timing
20240208,512100.SH,ETF,BUY,122000,122000,timing
20240219,512100.SH,ETF,BUY,361300,239300,timing
20240220,512100.SH,ETF,BUY,521800,160500,timing
20240221,512100.SH,ETF,BUY,691600,169800,timing
20240222,512100.SH,ETF,BUY,813200,121600,timing
20240223,512100.SH,ETF,BUY,867900,54700,timing
20240226,512100.SH,ETF,BUY,943600,75700,timing
20240227,512100.SH,ETF,BUY,1009400,65800,timing
20240229,512100.SH,ETF,SELL,839200,170200,timing
20240301,512100.SH,ETF,SELL,763300,75900,timing
20240304,512100.SH,ETF,SELL,627200,136100,timing
20240305,512100.SH,ETF,BUY,684100,56900,timing
20240306,512100.SH,ETF,SELL,528500,155600,timing
20240308,512100.SH,ETF,SELL,442500,86000,timing
20240313,512100.SH,ETF,BUY,501900,59400,timing
20240314,512100.SH,ETF,BUY,599600,97700,timing
20240315,512100.SH,ETF,SELL,460900,138700,timing
20240319,512100.SH,ETF,BUY,588100,127200,timing
20240320,512100.SH,ETF,BUY,735700,147600,timing
20240321,512100.SH,ETF,BUY,821900,86200,timing
20240325,512100.SH,ETF,SELL,778100,43800,timing
20240326,512100.SH,ETF,SELL,502900,275200,timing
20240327,512100.SH,ETF,SELL,311500,191400,timing
20240328,512100.SH,ETF,SELL,0,311500,timing
20240329,512100.SH,ETF,BUY,164200,164200,timing
20240401,512100.SH,ETF,BUY,226300,62100,timing
20240402,512100.SH,ETF,BUY,482200,255900,timing
20240403,512100.SH,ETF,BUY,577400,95200,timing
20240409,512100.SH,ETF,SELL,350500,226900,timing
20240410,512100.SH,ETF,SELL,0,350500,timing
20240419,512100.SH,ETF,BUY,101500,101500,timing
20240422,512100.SH,ETF,BUY,226700,125200,timing
20240423,512100.SH,ETF,SELL,0,226700,timing
20240426,512100.SH,ETF,BUY,95700,95700,timing
20240429,512100.SH,ETF,BUY,151900,56200,timing
20240430,512100.SH,ETF,BUY,286200,134300,timing
20240507,512100.SH,ETF,BUY,384500,98300,timing
20240509,512100.SH,ETF,BUY,430200,45700,timing
20240513,512100.SH,ETF,SELL,241600,188600,timing
20240514,512100.SH,ETF,SELL,0,241600,timing
20240520,512100.SH,ETF,BUY,175200,175200,timing
20240521,512100.SH,ETF,BUY,284500,109300,timing
20240522,512100.SH,ETF,SELL,224700,59800,timing
20240523,512100.SH,ETF,SELL,0,224700,timing
20240527,512100.SH,ETF,BUY,65400,65400,timing
20240528,512100.SH,ETF,SELL,0,65400,timing
20240613,512100.SH,ETF,BUY,175700,175700,timing
20240618,512100.SH,ETF,SELL,0,175700,timing
20240619,512100.SH,ETF,BUY,94100,94100,timing
20240620,512100.SH,ETF,BUY,225400,131300,timing
20240624,512100.SH,ETF,SELL,122300,103100,timing
20240625,512100.SH,ETF,SELL,0,122300,timing
20240704,512100.SH,ETF,BUY,95800,95800,timing
20240708,512100.SH,ETF,SELL,0,95800,timing
20240712,512100.SH,ETF,BUY,185700,185700,timing
20240716,512100.SH,ETF,SELL,134100,51600,timing
20240717,512100.SH,ETF,SELL,0,134100,timing
20240729,512100.SH,ETF,BUY,91900,91900,timing
20240730,512100.SH,ETF,BUY,384500,292600,timing
20240731,512100.SH,ETF,BUY,599600,215100,timing
20240801,512100.SH,ETF,BUY,743000,143400,timing
20240805,512100.SH,ETF,SELL,669500,73500,timing
20240806,512100.SH,ETF,SELL,511000,158500,timing
20240807,512100.SH,ETF,SELL,432500,78500,timing
20240809,512100.SH,ETF,SELL,298900,133600,timing
20240812,512100.SH,ETF,SELL,0,298900,timing
20240816,512100.SH,ETF,BUY,178700,178700,timing
20240819,512100.SH,ETF,BUY,271000,92300,timing
20240820,512100.SH,ETF,SELL,197600,73400,timing
20240821,512100.SH,ETF,SELL,0,197600,timing
20240829,512100.SH,ETF,BUY,65000,65000,timing
20240902,512100.SH,ETF,BUY,235900,170900,timing
20240906,512100.SH,ETF,BUY,479100,243200,timing
20240909,512100.SH,ETF,BUY,536200,57100,timing
20240911,512100.SH,ETF,SELL,368500,167700,timing
20240912,512100.SH,ETF,SELL,204800,163700,timing
20240913,512100.SH,ETF,SELL,0,204800,timing
20240918,512100.SH,ETF,BUY,57100,57100,timing
20240920,512100.SH,ETF,BUY,129900,72800,timing
20240923,512100.SH,ETF,BUY,244500,114600,timing
20240924,512100.SH,ETF,BUY,533400,288900,timing
20240925,512100.SH,ETF,BUY,713600,180200,timing
20240926,512100.SH,ETF,BUY,846900,133300,timing
20240927,512100.SH,ETF,BUY,994600,147700,timing
20240930,512100.SH,ETF,BUY,1059600,65000,timing
20241010,512100.SH,ETF,SELL,883500,176100,timing
20241011,512100.SH,ETF,SELL,537500,346000,timing
20241014,512100.SH,ETF,SELL,0,537500,timing
20241017,512100.SH,ETF,BUY,277900,277900,timing
20241021,512100.SH,ETF,BUY,464100,186200,timing
20241022,512100.SH,ETF,BUY,585400,121300,timing
20241023,512100.SH,ETF,BUY,743500,158100,timing
20241029,512100.SH,ETF,BUY,852800,109300,timing
20241030,512100.SH,ETF,BUY,910800,58000,timing
20241104,512100.SH,ETF,SELL,809800,101000,timing
20241105,512100.SH,ETF,SELL,699800,110000,timing
20241107,512100.SH,ETF,BUY,809300,109500,timing
20241108,512100.SH,ETF,BUY,903300,94000,timing
