trade_date,nav_a0_raw,nav_a1_filtered,nav_diff
20221230,1.0,1.0,0.0
20230103,1.0000826446280993,1.0000826446280993,0.0
20230104,1.000165296086333,1.000165296086333,0.0
20230105,1.0002479543752658,1.0002479543752658,0.0
20230106,1.000330619495462,1.000330619495462,0.0
20230109,1.0004132914474864,1.0004132914474864,0.0
20230110,1.0004959702319034,1.0004959702319034,0.0
20230111,1.000578655849278,1.000578655849278,0.0
20230112,1.0006613483001747,1.0006613483001747,0.0
20230113,1.0007440475851581,1.0007440475851581,0.0
20230116,1.0008267537047932,1.0008267537047932,0.0
20230117,1.000909466659645,1.000909466659645,0.0
20230118,1.000992186450278,1.000992186450278,0.0
20230119,1.0010749130772574,1.0010749130772574,0.0
20230120,1.001157646541148,1.001157646541148,0.0
20230130,1.001240386842515,1.001240386842515,0.0
20230131,1.0013231339819235,1.0013231339819235,0.0
20230201,1.0038109345702693,1.0038109345702693,0.0
20230202,1.0124207194332318,1.0124207194332318,0.0
20230203,1.010757144924695,1.010757144924695,0.0
20230206,1.0083152390826902,1.0083152390826902,0.0
20230207,1.0090214302074452,1.0090214302074452,0.0
20230208,1.008141845952992,1.008141845952992,0.0
20230209,1.0115986295014932,1.0115986295014932,0.0
20230210,1.0151885990351108,1.0151885990351108,0.0
20230213,1.018853575613506,1.018853575613506,0.0
20230214,1.018727671130536,1.018727671130536,0.0
20230215,1.018492890573342,1.018492890573342,0.0
20230216,1.0128180574807149,1.0128180574807149,0.0
20230217,1.012527767364541,1.012527767364541,0.0
20230220,1.012611447345315,1.012611447345315,0.0
20230221,1.0126951342417896,1.0126951342417896,0.0
20230222,1.012778828054537,1.012778828054537,0.0
20230223,1.0128625287841282,1.0128625287841282,0.0
20230224,1.012946236431135,1.012946236431135,0.0
20230227,1.01274443741803,1.01274443741803,0.0
20230228,1.012800848505044,1.012800848505044,0.0
20230301,1.0128845510545073,1.0128845510545073,0.0
20230302,1.0129682605215364,1.0129682605215364,0.0
20230303,1.0130246034021582,1.0130246034021582,0.0
20230306,1.0131460971106676,1.0131460971106676,0.0
20230307,1.0132298281930734,1.0132298281930734,0.0
20230308,1.0133135661954036,1.0133135661954036,0.0
20230309,1.0126100893326926,1.0126100893326926,0.0
20230310,1.0092773114253495,1.0092773114253495,0.0
20230313,1.0094918525254675,1.0094918525254675,0.0
20230314,1.0062182171789442,1.0062182171789442,0.0
20230315,1.006897769022588,1.006897769022588,0.0
20230316,1.0015492984485779,1.0015492984485779,0.0
20230317,1.0026922972244825,1.0026922972244825,0.0
20230320,1.0017535485992721,1.0017535485992721,0.0
20230321,1.009026056931613,1.009026056931613,0.0
20230322,1.0102613083726444,1.0102613083726444,0.0
20230323,1.0106821268645834,1.0106821268645834,0.0
20230324,1.0146046363699965,1.0146046363699965,0.0
20230327,1.013999648795955,1.013999648795955,0.0
20230328,1.0136761683061863,1.0136761683061863,0.0
20230329,1.0137437714051825,1.0137437714051825,0.0
20230330,1.0138275518821582,1.0138275518821582,0.0
20230331,1.0139113392831403,1.0139113392831403,0.0
20230403,1.0139951336087007,1.0139951336087007,0.0
20230404,1.0140789348594124,1.0140789348594124,0.0
20230406,1.0142005505478306,1.0140230176738634,-0.0001775328739672677
20230407,1.016854437685291,1.0167326444009814,-0.00012179328430961256
20230410,1.0131716402236794,1.012622363639399,-0.0005492765842805003
20230411,1.0129929400431195,1.0125147289553267,-0.0004782110877927792
20230412,1.0129769497736645,1.012510539688224,-0.0004664100854405717
20230413,1.0130606668769515,1.012594218245223,-0.00046644863172851103
20230414,1.0131443908990074,1.012677903717805,-0.00046648718120234633
20230417,1.0132281218404042,1.0127615961065424,-0.0004665257338618556
20230418,1.0133118597017132,1.0128452954120055,-0.0004665642897077049
20230419,1.0133956044835069,1.012929001634767,-0.0004666028487398943
20230420,1.0134793561863567,1.013012714775398,-0.00046664141095864586
20230421,1.0135631148108348,1.0130964348344702,-0.00046667997636462566
20230424,1.0136468803575136,1.0131801618125555,-0.00046671854495805576
20230425,1.0137306528269645,1.013263895710226,-0.00046675711673849207
20230426,1.0138144322197602,1.0133476365280532,-0.0004667956917070448
20230427,1.0138982185364727,1.0134313842666092,-0.00046683426986349197
20230428,1.0139820117776739,1.013515138926466,-0.0004668728512078335
20230504,1.0140658119439365,1.0135989005081956,-0.0004669114357409576
20230505,1.0141496190358328,1.0136826690123697,-0.00046695002346308634
20230508,1.0140701629956703,1.0136450416858418,-0.0004251213098285245
