Period,CAGR,Sharpe,MaxDD,Calmar,Crisis_2024_MaxDD,Stop_Loss_Count
全历史 (2007-2026),5.93%,0.596,-28.39%,0.209,-13.92%,423
近阶段 (2020-2026),9.30%,0.799,-16.15%,0.576,-13.92%,253
