Config,CAGR,Sharpe,MaxDD,Calmar,Stop_Loss_Count
"Baseline (2W, No Filters)",0.06919912162856545,0.7163354301710396,-0.24415542229026627,0.2834224240422459,534
Base + Angle 4 (Prem Cap 70%),0.07151325706348444,0.7165235374018339,-0.27189153799568816,0.26302126793154756,531
Base + Angle 5 (Monthly 4W),0.06683586765653082,0.7876029819989171,-0.18823970662818845,0.35505722386480976,530
Base + Angle 2 (Blacklist 20d),0.06622566640550454,0.6956180951097296,-0.2336535563876791,0.28343530237400966,514
Base + Angle 1 (Trailing Stop),0.06665296276070642,0.695091835331152,-0.25515347626241053,0.26122694363042,562
All Angles Combined,0.06625733963124136,0.7930246116827976,-0.18742564231137435,0.3535126720876676,540
