Variant,CAGR,Sharpe,MaxDD,Calmar,Crisis_2024_MaxDD,Stop_Loss_Count
0. Current Production (生产现状),0.07231086539186582,0.8686253731211636,-0.18474295902076945,0.39141337659172376,-0.08776392688804957,513
1. + 强赎前置剔除 (convert_value<130),0.08456804276422658,0.97090642781454,-0.18534540891660467,0.4562726601028331,-0.09419757521321284,514
2. + 评级升至 AA- (Rating >= AA-),0.07133217387284652,0.9176295526451689,-0.17857626485557027,0.3994493553246781,-0.10405676498546834,465
3. + 因子解耦重构 (20%价格+25%溢价率),0.0703376006556169,0.9247303078170063,-0.18920287582134812,0.37175756631750184,-0.1470043896167571,357
4. + 最高价回撤>8%止损 (替代单日-5%),0.0750689605590531,0.9492122958756642,-0.19206509234233066,0.3908516620253544,-0.15030406959278525,169
