Period,Mean Rank IC,IC IR (信息比率),胜率 (IC > 0 占比),双低值 Rank IC,溢价率 Rank IC,正股动量 Rank IC,正股低波 Rank IC,小规模 Rank IC
全历史 (2007-2026),+0.0668,0.3535,64.93%,+0.0683,+0.0154,+0.0301,+0.0204,+0.0025
近阶段 (2020-2026),+0.0665,0.4411,69.23%,+0.0723,+0.0093,+0.0076,+0.0328,+0.0108
