Top_N,CAGR,Sharpe,MaxDD,Calmar,Crisis_2024_MaxDD,Single_Bond_Weight,Capital_Per_Bond_10W
Top 5,0.06433227809163,0.5662458074097407,-0.26936002259987857,0.23883380121033226,-0.26936002259987857,20.0%,"￥12,000"
Top 10,0.07329334517452746,0.79086352880339,-0.1917591789142318,0.3822155767954628,-0.15026107392148905,10.0%,"￥6,000"
Top 15,0.06782428374699223,0.7683169285360331,-0.20024915708062693,0.33869947187684757,-0.13349530353690273,6.7%,"￥4,000"
Top 20,0.07231086539186582,0.8686253731211636,-0.18474295902076945,0.39141337659172376,-0.08776392688804957,5.0%,"￥3,000"
