标的,目标杠杆,风控策略,年化收益,最大回撤,夏普比率,强平爆仓次数,防爆熔断次数,提前降杠杆期数,资金费总收,借币利息支出
BTC,1x,原始无风控版,7.49%,-0.23%,23.86,0,0,0,25.2%,0.0%
BTC,1x,防爆预测增强版,7.49%,-0.23%,23.86,0,0,0,25.2%,0.0%
BTC,2x,原始无风控版,9.71%,-0.90%,15.81,0,0,0,53.1%,19.0%
BTC,2x,防爆预测增强版,9.71%,-0.90%,15.81,0,0,0,53.1%,19.0%
BTC,3x,原始无风控版,12.01%,-1.77%,13.04,0,0,0,83.8%,40.2%
BTC,3x,防爆预测增强版,12.01%,-1.77%,13.04,0,0,0,83.8%,40.2%
BTC,4x,原始无风控版,14.39%,-2.67%,11.67,0,0,0,117.8%,64.0%
BTC,4x,防爆预测增强版,14.18%,-2.66%,11.65,0,0,19,117.0%,63.6%
BTC,5x,原始无风控版,16.85%,-3.63%,10.87,0,0,0,155.2%,90.6%
BTC,5x,防爆预测增强版,16.23%,-3.61%,10.76,0,0,51,152.3%,89.0%
ETH,1x,原始无风控版,7.64%,-0.59%,22.92,0,0,0,26.2%,0.0%
ETH,1x,防爆预测增强版,7.64%,-0.59%,22.92,0,0,0,26.2%,0.0%
ETH,2x,原始无风控版,9.86%,-1.68%,15.07,0,0,0,55.6%,19.9%
ETH,2x,防爆预测增强版,9.84%,-1.68%,15.03,0,0,7,55.5%,19.9%
ETH,3x,原始无风控版,12.19%,-2.81%,12.43,0,0,0,88.5%,42.7%
ETH,3x,防爆预测增强版,12.08%,-2.82%,12.34,0,0,17,88.2%,42.4%
ETH,4x,原始无风控版,14.63%,-4.77%,11.15,0,0,0,125.3%,68.5%
ETH,4x,防爆预测增强版,14.10%,-4.94%,10.86,0,0,69,123.4%,67.2%
ETH,5x,原始无风控版,-26.03%,-71.95%,-0.3,1,0,0,91.9%,40.7%
ETH,5x,防爆预测增强版,15.06%,-8.05%,7.76,0,1,185,158.5%,92.0%
SOL,1x,原始无风控版,5.17%,-1.61%,10.38,0,0,0,22.2%,0.0%
SOL,1x,防爆预测增强版,5.17%,-1.61%,10.38,0,0,0,22.2%,0.0%
SOL,2x,原始无风控版,6.16%,-7.43%,6.36,0,0,0,46.8%,15.4%
SOL,2x,防爆预测增强版,5.97%,-7.53%,6.2,0,0,16,46.3%,15.2%
SOL,3x,原始无风控版,7.36%,-12.94%,5.11,0,0,0,74.1%,32.8%
SOL,3x,防爆预测增强版,6.33%,-13.28%,4.54,0,0,85,70.5%,31.4%
SOL,4x,原始无风控版,8.75%,-17.77%,4.57,0,0,0,104.4%,52.4%
SOL,4x,防爆预测增强版,6.07%,-18.39%,3.57,0,0,192,93.2%,47.4%
SOL,5x,原始无风控版,10.34%,-21.99%,4.33,0,0,0,138.2%,74.6%
SOL,5x,防爆预测增强版,4.39%,-23.75%,2.3,0,0,410,110.3%,61.0%
