策略,总收益,年化,最大回撤,夏普
V1 纯合约方向跟随费率,-74.0%,-48.8%,-76.0%,-1.24
V2 Delta中性（持币+正费率时对冲）,53.2%,23.7%,-14.4%,1.41
V3 朋友完整版（押BTC+合约跟随费率）,94.7%,39.3%,-26.9%,1.19
基准：买入持有BTC,254.7%,87.8%,-38.9%,1.61
