openTime,close
2026-03-26 08:00:00,174.63
2026-03-26 16:00:00,172.38
2026-03-27 00:00:00,172.96
2026-03-27 08:00:00,169.7
2026-03-27 16:00:00,166.6
2026-03-28 00:00:00,166.69
2026-03-28 08:00:00,167.19
2026-03-28 16:00:00,166.34
2026-03-29 00:00:00,166.71
2026-03-29 08:00:00,166.86
2026-03-29 16:00:00,165.72
2026-03-30 00:00:00,168.21
2026-03-30 08:00:00,167.36
2026-03-30 16:00:00,163.52
2026-03-31 00:00:00,166.6
2026-03-31 08:00:00,169.82
2026-03-31 16:00:00,174.93
2026-04-01 00:00:00,176.29
2026-04-01 08:00:00,177.15
2026-04-01 16:00:00,176.06
2026-04-02 00:00:00,172.26
2026-04-02 08:00:00,176.5
2026-04-02 16:00:00,176.66
2026-04-03 00:00:00,176.58
2026-04-03 08:00:00,176.41
2026-04-03 16:00:00,176.5
2026-04-04 00:00:00,176.44
2026-04-04 08:00:00,176.52
2026-04-04 16:00:00,176.5
2026-04-05 00:00:00,176.29
2026-04-05 08:00:00,176.36
2026-04-05 16:00:00,176.48
2026-04-06 00:00:00,178.22
2026-04-06 08:00:00,177.54
2026-04-06 16:00:00,176.83
2026-04-07 00:00:00,176.54
2026-04-07 08:00:00,175.31
2026-04-07 16:00:00,183.39
2026-04-08 00:00:00,183.88
2026-04-08 08:00:00,181.69
2026-04-08 16:00:00,180.97
2026-04-09 00:00:00,180.37
2026-04-09 08:00:00,183.5
2026-04-09 16:00:00,183.12
2026-04-10 00:00:00,183.09
2026-04-10 08:00:00,188.48
2026-04-10 16:00:00,188.52
2026-04-11 00:00:00,188.37
2026-04-11 08:00:00,188.24
2026-04-11 16:00:00,188.44
2026-04-12 00:00:00,187.91
2026-04-12 08:00:00,187.26
2026-04-12 16:00:00,188.14
2026-04-13 00:00:00,185.96
2026-04-13 08:00:00,188.36
2026-04-13 16:00:00,189.2
2026-04-14 00:00:00,190.01
2026-04-14 08:00:00,194.19
2026-04-14 16:00:00,196.32
2026-04-15 00:00:00,195.68
2026-04-15 08:00:00,199.81
2026-04-15 16:00:00,198.68
2026-04-16 00:00:00,199.92
2026-04-16 08:00:00,199.08
2026-04-16 16:00:00,198.07
2026-04-17 00:00:00,198.54
2026-04-17 08:00:00,200.59
2026-04-17 16:00:00,201.06
2026-04-18 00:00:00,200.93
2026-04-18 08:00:00,200.67
2026-04-18 16:00:00,200.68
2026-04-19 00:00:00,200.32
2026-04-19 08:00:00,200.63
2026-04-19 16:00:00,199.89
2026-04-20 00:00:00,199.16
2026-04-20 08:00:00,198.7
2026-04-20 16:00:00,201.78
2026-04-21 00:00:00,201.97
2026-04-21 08:00:00,200.79
2026-04-21 16:00:00,200.79
2026-04-22 00:00:00,201.41
2026-04-22 08:00:00,201.35
2026-04-22 16:00:00,202.35
2026-04-23 00:00:00,201.81
2026-04-23 08:00:00,201.66
2026-04-23 16:00:00,199.69
2026-04-24 00:00:00,200.2
2026-04-24 08:00:00,209.33
2026-04-24 16:00:00,208.32
2026-04-25 00:00:00,208.11
2026-04-25 08:00:00,208.2
2026-04-25 16:00:00,208.26
2026-04-26 00:00:00,208.56
2026-04-26 08:00:00,208.23
2026-04-26 16:00:00,207.73
2026-04-27 00:00:00,208.96
2026-04-27 08:00:00,210.78
2026-04-27 16:00:00,218.85
2026-04-28 00:00:00,215.88
2026-04-28 08:00:00,209.87
2026-04-28 16:00:00,212.84
2026-04-29 00:00:00,213.55
2026-04-29 08:00:00,210.72
2026-04-29 16:00:00,211.3
2026-04-30 00:00:00,209.92
2026-04-30 08:00:00,200.89
2026-04-30 16:00:00,200.25
2026-05-01 00:00:00,200.68
2026-05-01 08:00:00,199.22
2026-05-01 16:00:00,198.15
2026-05-02 00:00:00,198.28
2026-05-02 08:00:00,198.22
2026-05-02 16:00:00,198.49
2026-05-03 00:00:00,198.47
2026-05-03 08:00:00,198.36
2026-05-03 16:00:00,198.43
2026-05-04 00:00:00,199.93
2026-05-04 08:00:00,195.73
2026-05-04 16:00:00,197.72
2026-05-05 00:00:00,199.06
2026-05-05 08:00:00,197.45
2026-05-05 16:00:00,197.48
2026-05-06 00:00:00,196.8
2026-05-06 08:00:00,205.02
2026-05-06 16:00:00,207.32
2026-05-07 00:00:00,209.28
2026-05-07 08:00:00,212.72
2026-05-07 16:00:00,211.58
2026-05-08 00:00:00,213.62
2026-05-08 08:00:00,215.75
2026-05-08 16:00:00,215.11
2026-05-09 00:00:00,215.26
2026-05-09 08:00:00,214.93
2026-05-09 16:00:00,215.57
2026-05-10 00:00:00,215.22
2026-05-10 08:00:00,215.43
2026-05-10 16:00:00,215.12
2026-05-11 00:00:00,214.78
2026-05-11 08:00:00,222.06
2026-05-11 16:00:00,219.88
2026-05-12 00:00:00,217.59
2026-05-12 08:00:00,216.91
2026-05-12 16:00:00,219.55
2026-05-13 00:00:00,225.08
2026-05-13 08:00:00,226.78
2026-05-13 16:00:00,227.73
2026-05-14 00:00:00,231.85
2026-05-14 08:00:00,234.93
2026-05-14 16:00:00,237.86
2026-05-15 00:00:00,232.92
2026-05-15 08:00:00,228.35
2026-05-15 16:00:00,224.54
2026-05-16 00:00:00,223.82
2026-05-16 08:00:00,223.67
2026-05-16 16:00:00,223.95
2026-05-17 00:00:00,224.21
2026-05-17 08:00:00,225.49
2026-05-17 16:00:00,224.03
2026-05-18 00:00:00,224.45
2026-05-18 08:00:00,222.6
2026-05-18 16:00:00,222.91
2026-05-19 00:00:00,222.79
2026-05-19 08:00:00,220.85
2026-05-19 16:00:00,221.79
