openTime,close
2026-03-26 08:00:00,556.7
2026-03-26 16:00:00,550.42
2026-03-27 00:00:00,550.9
2026-03-27 08:00:00,530.45
2026-03-27 16:00:00,520.66
2026-03-28 00:00:00,521.48
2026-03-28 08:00:00,521.41
2026-03-28 16:00:00,520.79
2026-03-29 00:00:00,520.61
2026-03-29 08:00:00,520.71
2026-03-29 16:00:00,519.29
2026-03-30 00:00:00,531.86
2026-03-30 08:00:00,538.19
2026-03-30 16:00:00,534.03
2026-03-31 00:00:00,544.56
2026-03-31 08:00:00,557.36
2026-03-31 16:00:00,577.05
2026-04-01 00:00:00,577.6
2026-04-01 08:00:00,583.25
2026-04-01 16:00:00,578.69
2026-04-02 00:00:00,568.64
2026-04-02 08:00:00,570.8
2026-04-02 16:00:00,575.15
2026-04-03 00:00:00,574.92
2026-04-03 08:00:00,575.0
2026-04-03 16:00:00,574.82
2026-04-04 00:00:00,574.84
2026-04-04 08:00:00,574.68
2026-04-04 16:00:00,574.61
2026-04-05 00:00:00,574.75
2026-04-05 08:00:00,574.66
2026-04-05 16:00:00,574.38
2026-04-06 00:00:00,578.04
2026-04-06 08:00:00,578.6
2026-04-06 16:00:00,573.32
2026-04-07 00:00:00,571.08
2026-04-07 08:00:00,567.35
2026-04-07 16:00:00,596.65
2026-04-08 00:00:00,600.82
2026-04-08 08:00:00,597.1
2026-04-08 16:00:00,616.52
2026-04-09 00:00:00,612.94
2026-04-09 08:00:00,634.67
2026-04-09 16:00:00,629.53
2026-04-10 00:00:00,631.24
2026-04-10 08:00:00,626.35
2026-04-10 16:00:00,630.49
2026-04-11 00:00:00,630.48
2026-04-11 08:00:00,630.3
2026-04-11 16:00:00,630.61
2026-04-12 00:00:00,629.65
2026-04-12 08:00:00,625.55
2026-04-12 16:00:00,628.37
2026-04-13 00:00:00,623.2
2026-04-13 08:00:00,627.6
2026-04-13 16:00:00,638.43
2026-04-14 00:00:00,637.68
2026-04-14 08:00:00,663.94
2026-04-14 16:00:00,666.3
2026-04-15 00:00:00,662.56
2026-04-15 08:00:00,675.26
2026-04-15 16:00:00,674.83
2026-04-16 00:00:00,676.55
2026-04-16 08:00:00,676.27
2026-04-16 16:00:00,677.68
2026-04-17 00:00:00,677.8
2026-04-17 08:00:00,683.12
2026-04-17 16:00:00,686.91
2026-04-18 00:00:00,686.98
2026-04-18 08:00:00,686.28
2026-04-18 16:00:00,686.77
2026-04-19 00:00:00,685.09
2026-04-19 08:00:00,686.58
2026-04-19 16:00:00,685.18
2026-04-20 00:00:00,681.5
2026-04-20 08:00:00,673.05
2026-04-20 16:00:00,672.67
2026-04-21 00:00:00,673.13
2026-04-21 08:00:00,671.58
2026-04-21 16:00:00,672.87
2026-04-22 00:00:00,676.35
2026-04-22 08:00:00,675.23
2026-04-22 16:00:00,673.0
2026-04-23 00:00:00,671.46
2026-04-23 08:00:00,666.31
2026-04-23 16:00:00,660.58
2026-04-24 00:00:00,661.02
2026-04-24 08:00:00,675.95
2026-04-24 16:00:00,675.02
2026-04-25 00:00:00,675.44
