标的,数据年数,平均费率bp8h,正费率占比,最优阈值bp,年化,最大回撤,夏普,切换次数,费率收入pct,手续费pct,买入持有,阈值0年化
MSFTUSDT,0.4,0.76,33%,0.0,11.1%,-0.8%,4.15,9,3.2,0.2,18%,11.1%
龙虾USDT,0.5,5.34,98%,0.0,335.1%,-5.8%,4.07,13,29.7,0.3,655%,335.1%
QQQUSDT,0.4,0.04,29%,0.0,17.4%,-1.1%,4.01,23,2.6,0.5,21%,17.4%
SPYUSDT,0.4,-0.48,12%,1.0,43.4%,-4.9%,2.98,34,0.3,0.7,16%,5.6%
AAPLUSDT,0.4,0.28,19%,1.0,94.6%,-11.2%,2.51,54,1.1,1.1,28%,-5.9%
HYPEUSDT,1.3,0.78,84%,1.0,144.8%,-22.3%,2.09,158,11.0,3.2,141%,39.5%
ZECUSDT,3.0,-0.02,79%,2.0,298.8%,-72.2%,1.82,6,14.1,0.1,4364%,28.5%
METAUSDT,0.5,0.5,35%,0.0,18.2%,-2.4%,1.73,23,3.9,0.5,16%,18.2%
BTCUSDT,3.0,0.67,85%,0.0,30.4%,-13.8%,1.55,441,22.4,8.8,191%,30.4%
AMZNUSDT,0.6,0.13,28%,0.0,12.8%,-3.7%,1.51,21,4.2,0.4,23%,12.8%
NVDAUSDT,0.5,0.55,41%,0.0,8.7%,-1.9%,1.51,25,6.2,0.5,24%,8.7%
ETHUSDT,3.0,0.69,86%,0.0,33.4%,-31.7%,1.22,479,23.2,9.6,55%,33.4%
TSLAUSDT,0.6,0.15,36%,0.0,14.8%,-5.2%,1.12,33,5.9,0.7,-15%,14.8%
SNDKUSDT,0.4,1.02,37%,2.0,75.5%,-46.2%,1.1,116,4.5,2.3,124%,-12.4%
GOOGLUSDT,0.5,0.98,46%,0.0,5.3%,-3.6%,0.93,23,6.9,0.5,19%,5.3%
LSKUSDT,2.6,-2.9,67%,0.5,79.6%,-75.4%,0.92,504,15.4,10.1,-40%,59.7%
XRPUSDT,3.0,0.66,76%,0.0,32.2%,-29.0%,0.89,705,23.3,14.1,178%,32.2%
DOGEUSDT,3.0,0.74,80%,0.0,25.6%,-38.0%,0.81,679,24.4,13.6,36%,25.6%
SOLUSDT,3.0,0.48,69%,2.0,33.5%,-76.4%,0.76,8,13.6,0.2,434%,-16.4%
FLOCKUSDT,1.0,-1.11,80%,1.0,27.6%,-54.6%,0.68,135,5.4,2.7,-81%,7.7%
SKHYNIXUSDT,0.3,3.83,46%,0.0,24.1%,-16.3%,0.67,113,5.2,2.3,-17%,24.1%
BNBUSDT,3.0,-0.09,29%,0.0,11.5%,-20.6%,0.66,263,9.4,5.3,241%,11.5%
MSTRUSDT,0.6,0.4,35%,2.0,17.0%,-49.7%,0.57,140,9.2,2.8,-2%,-7.5%
COINUSDT,0.6,-0.24,27%,1.0,-10.9%,-36.6%,0.13,172,6.0,3.4,5%,-5.0%
VTHOUSDT,1.6,-3.32,78%,2.0,-71.1%,-95.9%,-0.7,0,0.0,0.0,-86%,-59.4%
