openTime,close
2024-01-25 08:00:00,1.185
2024-01-25 16:00:00,1.278
2024-01-26 00:00:00,1.228
2024-01-26 08:00:00,1.232
2024-01-26 16:00:00,1.246
2024-01-27 00:00:00,1.193
2024-01-27 08:00:00,1.195
2024-01-27 16:00:00,1.215
2024-01-28 00:00:00,1.196
2024-01-28 08:00:00,1.344
2024-01-28 16:00:00,1.412
2024-01-29 00:00:00,1.363
2024-01-29 08:00:00,1.471
2024-01-29 16:00:00,1.463
2024-01-30 00:00:00,1.497
2024-01-30 08:00:00,1.429
2024-01-30 16:00:00,1.4
2024-01-31 00:00:00,1.362
2024-01-31 08:00:00,1.346
2024-01-31 16:00:00,1.356
2024-02-01 00:00:00,1.309
2024-02-01 08:00:00,1.318
2024-02-01 16:00:00,1.342
2024-02-02 00:00:00,1.372
2024-02-02 08:00:00,1.383
2024-02-02 16:00:00,1.382
2024-02-03 00:00:00,1.348
2024-02-03 08:00:00,1.342
2024-02-03 16:00:00,1.334
2024-02-04 00:00:00,1.369
2024-02-04 08:00:00,1.385
2024-02-04 16:00:00,1.367
2024-02-05 00:00:00,1.3676
2024-02-05 08:00:00,1.3641
2024-02-05 16:00:00,1.3961
2024-02-06 00:00:00,1.4978
2024-02-06 08:00:00,1.4483
2024-02-06 16:00:00,1.4787
2024-02-07 00:00:00,1.3665
2024-02-07 08:00:00,1.3623
2024-02-07 16:00:00,1.4081
2024-02-08 00:00:00,1.3514
2024-02-08 08:00:00,1.3716
2024-02-08 16:00:00,1.3642
2024-02-09 00:00:00,1.3673
2024-02-09 08:00:00,1.3756
2024-02-09 16:00:00,1.3938
2024-02-10 00:00:00,1.3742
2024-02-10 08:00:00,1.3735
2024-02-10 16:00:00,1.3731
2024-02-11 00:00:00,1.3818
2024-02-11 08:00:00,1.3737
2024-02-11 16:00:00,1.3681
2024-02-12 00:00:00,1.3346
2024-02-12 08:00:00,1.3481
2024-02-12 16:00:00,1.3699
2024-02-13 00:00:00,1.3602
2024-02-13 08:00:00,1.3349
2024-02-13 16:00:00,1.3374
2024-02-14 00:00:00,1.3318
2024-02-14 08:00:00,1.3482
2024-02-14 16:00:00,1.3581
2024-02-15 00:00:00,1.3438
2024-02-15 08:00:00,1.3629
2024-02-15 16:00:00,1.3592
2024-02-16 00:00:00,1.4019
2024-02-16 08:00:00,1.3963
2024-02-16 16:00:00,1.4057
2024-02-17 00:00:00,1.3829
2024-02-17 08:00:00,1.3387
2024-02-17 16:00:00,1.3534
2024-02-18 00:00:00,1.3436
2024-02-18 08:00:00,1.3591
2024-02-18 16:00:00,1.3475
2024-02-19 00:00:00,1.3696
2024-02-19 08:00:00,1.3644
2024-02-19 16:00:00,1.3704
2024-02-20 00:00:00,1.4008
2024-02-20 08:00:00,1.3644
2024-02-20 16:00:00,1.4008
2024-02-21 00:00:00,1.3912
2024-02-21 08:00:00,1.4456
2024-02-21 16:00:00,1.488
2024-02-22 00:00:00,1.4702
2024-02-22 08:00:00,1.4252
2024-02-22 16:00:00,1.412
2024-02-23 00:00:00,1.3706
2024-02-23 08:00:00,1.3603
2024-02-23 16:00:00,1.3541
2024-02-24 00:00:00,1.346
2024-02-24 08:00:00,1.354
2024-02-24 16:00:00,1.3605
2024-02-25 00:00:00,1.3394
2024-02-25 08:00:00,1.3492
2024-02-25 16:00:00,1.3585
2024-02-26 00:00:00,1.3571
2024-02-26 08:00:00,1.3715
2024-02-26 16:00:00,1.3789
2024-02-27 00:00:00,1.3582
2024-02-27 08:00:00,1.3983
2024-02-27 16:00:00,1.4077
2024-02-28 00:00:00,1.427
2024-02-28 08:00:00,1.4286
2024-02-28 16:00:00,1.3831
2024-02-29 00:00:00,1.4164
2024-02-29 08:00:00,1.4604
2024-02-29 16:00:00,1.4548
2024-03-01 00:00:00,1.4788
2024-03-01 08:00:00,1.496
2024-03-01 16:00:00,1.5465
2024-03-02 00:00:00,1.5534
2024-03-02 08:00:00,1.5782
2024-03-02 16:00:00,1.6074
2024-03-03 00:00:00,1.5273
2024-03-03 08:00:00,1.6089
2024-03-03 16:00:00,1.6474
2024-03-04 00:00:00,1.6397
2024-03-04 08:00:00,1.7372
2024-03-04 16:00:00,1.7506
2024-03-05 00:00:00,2.3008
2024-03-05 08:00:00,2.3469
2024-03-05 16:00:00,2.7539
2024-03-06 00:00:00,2.5007
2024-03-06 08:00:00,2.3096
2024-03-06 16:00:00,2.3222
2024-03-07 00:00:00,2.1464
2024-03-07 08:00:00,2.1425
2024-03-07 16:00:00,2.1685
2024-03-08 00:00:00,2.1388
2024-03-08 08:00:00,2.0948
2024-03-08 16:00:00,2.1356
2024-03-09 00:00:00,2.2217
2024-03-09 08:00:00,2.1887
2024-03-09 16:00:00,2.1911
2024-03-10 00:00:00,2.1493
2024-03-10 08:00:00,2.1137
2024-03-10 16:00:00,2.1215
2024-03-11 00:00:00,2.1025
2024-03-11 08:00:00,2.1055
2024-03-11 16:00:00,2.1715
2024-03-12 00:00:00,2.0843
2024-03-12 08:00:00,2.1229
2024-03-12 16:00:00,2.1223
2024-03-13 00:00:00,2.1649
2024-03-13 08:00:00,2.1116
2024-03-13 16:00:00,2.1261
2024-03-14 00:00:00,2.1014
2024-03-14 08:00:00,2.02
2024-03-14 16:00:00,2.0718
2024-03-15 00:00:00,1.9314
2024-03-15 08:00:00,1.8799
2024-03-15 16:00:00,1.9116
2024-03-16 00:00:00,1.9289
2024-03-16 08:00:00,1.8528
2024-03-16 16:00:00,1.7526
2024-03-17 00:00:00,1.6903
2024-03-17 08:00:00,1.8731
2024-03-17 16:00:00,1.8588
2024-03-18 00:00:00,1.93
2024-03-18 08:00:00,1.8622
2024-03-18 16:00:00,1.8629
2024-03-19 00:00:00,1.6818
2024-03-19 08:00:00,1.7273
2024-03-19 16:00:00,1.6297
2024-03-20 00:00:00,1.6566
2024-03-20 08:00:00,1.6596
2024-03-20 16:00:00,1.7824
2024-03-21 00:00:00,1.7872
2024-03-21 08:00:00,1.8089
2024-03-21 16:00:00,1.796
2024-03-22 00:00:00,1.8132
2024-03-22 08:00:00,1.7235
2024-03-22 16:00:00,1.7297
2024-03-23 00:00:00,1.7554
2024-03-23 08:00:00,1.7815
2024-03-23 16:00:00,1.7773
2024-03-24 00:00:00,1.8813
2024-03-24 08:00:00,1.9881
2024-03-24 16:00:00,2.0
2024-03-25 00:00:00,2.0444
2024-03-25 08:00:00,2.0236
