标的组,相关系数,平均利差(bp),平均绝对利差(bp),90分位利差(bp),A高于B占比
"BTC (Binance vs OKX, ~100天)",0.629,0.11,0.27,0.58,58.9%
"BTC (Binance vs Bybit, 近3年)",0.819,-0.02,0.39,0.92,40.9%
"ETH (Binance vs OKX, ~100天)",0.601,0.04,0.28,0.61,50.3%
"ETH (Binance vs Bybit, 近3年)",0.815,0.0,0.38,0.9,40.5%
"SOL (Binance vs OKX, ~100天)",0.773,-0.04,0.29,0.69,39.7%
"SOL (Binance vs Bybit, 近3年)",0.87,-0.1,0.53,1.25,34.5%
