regime,factor,IC,t_stat
低波动,net_sentiment,0.0368848372069401,1.6118285556565095
低波动,dos,-0.0261807427754264,-1.143684409315041
低波动,positive,0.0203264810516475,0.8878248207964813
低波动,negative,-0.0343450902595465,-1.5007083654174287
中波动,net_sentiment,0.0351917786864238,1.6795812332108049
中波动,dos,-0.0653676547457539,-3.124520994716155
中波动,positive,-0.02160318271598,-1.0306466715883575
中波动,negative,-0.0587504031438296,-2.8070642657733544
高波动,net_sentiment,0.0292338157272028,1.4788922257901131
高波动,dos,-0.0372803725693697,-1.886460059942475
高波动,positive,-0.0020392028970699,-0.1031161540011056
高波动,negative,-0.0406288004412463,-2.056165675728165
