news_date,ts_code,company_name,net_sentiment,negative,ret_1d,ret_2d,ret_3d,ret_5d,ret_10d,drop_t1_t3,drop_quintile
20250217,600528.SH,新疆交建,-2.25,2.25,-1.037613488975353,-0.2594033722438382,-2.075226977950717,1.4267185473411104,-1.945525291828798,-1.0484927916120546,Q3
20250217,603366.SH,日出东方,-2.25,2.25,-8.326967150496555,-5.80595874713522,-5.729564553093969,-6.111535523300238,-14.591291061879296,2.833333333333332,Q4
20250217,601619.SH,博士眼镜,-2.25,2.25,-0.5970149253731294,-0.5970149253731294,-1.49253731343284,-0.8955223880597107,-1.49253731343284,-0.9009009009009028,Q3
20250217,603878.SH,长盛轴承,-2.75,3.75,-1.8587360594795488,-1.8587360594795488,-0.5576208178438735,-0.1858736059479504,1.3011152416356977,1.325757575757569,Q4
20250217,603699.SH,科安达,-2.25,2.25,-0.5192878338278972,0.8902077151335286,0.6305637982195744,-5.341246290801194,-9.013353115726996,1.1558538404175869,Q4
20250217,002741.SZ,大业股份,-2.25,2.25,-2.65173836181496,-0.9428403064230984,0.0589275191514637,2.4749558043606568,20.094284030642307,2.784503631961255,Q4
20250217,688599.SH,绿的谐波,-2.25,2.25,-1.5659955257270597,-0.8948545861297563,-3.747203579418336,-5.201342281879196,-2.348993288590595,-2.215909090909096,Q2
20250217,600797.SH,浙大网新,-2.25,2.25,-9.98043052837575,-7.925636007827796,1.2720156555772857,14.187866927592951,-8.21917808219178,12.5,Q5
20250217,002855.SZ,桂发祥,-2.7,2.7,-2.888781896966764,-2.118440057775639,0.0,3.5146846413095734,-4.09244102070293,2.9747149231531766,Q4
20250217,300896.SZ,低空经济,-2.7,2.7,-3.507228849431032,-1.803089439832884,0.8740586004067907,-2.721125831455107,-6.541696443296141,4.540534381587191,Q5
20250217,000983.SZ,山西焦煤,-4.5,4.5,-1.6689847009735748,-2.503477051460368,-3.198887343532686,-3.198887343532686,-4.172461752433943,-1.5558698727015652,Q2
20250214,300685.SZ,杭州高新,-2.25,2.25,13.16600616468515,11.756935270805812,14.134742404227207,15.147512109202976,2.818141787758699,0.8560311284046884,Q4
20250214,600829.SH,湘财股份,-2.25,2.25,0.0,-5.263157894736848,-4.749679075738122,-1.0269576379974388,-2.310654685494218,-4.749679075738122,Q1
20250214,300383.SZ,光环新网,-2.25,2.25,0.847457627118664,-7.966101694915251,-4.802259887005633,17.344632768361578,9.830508474576297,-5.602240896358546,Q1
20250214,603118.SH,宏和科技,-2.25,2.25,1.1131725417439895,-4.081632653061218,-2.875695732838579,1.57699443413728,29.962894248608546,-3.944954128440359,Q1
20250214,300003.SZ,医疗,-2.25,2.25,1.8883415435139608,-2.9556650246305383,-1.4778325123152691,0.0821018062397316,-5.008210180623973,-3.3037872683319924,Q2
20250214,300610.SZ,永信至诚,-2.25,2.25,1.5090543259557387,-0.3018108651911433,1.2072434607645954,3.319919517102621,2.112676056338048,-0.2973240832507384,Q3
20250214,002713.SZ,东易日盛,-3.6,3.6,3.3816425120773097,-2.415458937198056,-1.449275362318836,-3.3816425120772875,-0.9661835748792312,-4.672897196261683,Q1
20250214,002673.SZ,西部证券,-2.7,2.7,0.6203473945409321,-2.3573200992555887,-1.488833746898266,0.4962779156327368,1.3647642679900596,-2.0961775585696563,Q2
20250214,002335.SZ,华生科技,-2.7,2.7,10.013106159895148,7.680209698558316,14.442988204456086,24.24639580602883,20.18348623853212,4.0266857279008805,Q5
