trade_date,nav,daily_ret,nav_long,nav_short,long_ret,short_ret
20230103,0.969454,-0.030546,1.010360,0.965094,0.010360,-0.034906
20230104,0.972130,0.002760,1.015879,0.962486,0.005462,-0.002703
20230105,0.980505,0.008615,1.022621,0.964390,0.006636,0.001979
20230106,0.991122,0.010828,1.012476,0.984400,-0.009920,0.020748
20230109,0.987967,-0.003183,1.016598,0.977259,0.004071,-0.007254
20230110,0.979316,-0.008756,1.015111,0.970131,-0.001463,-0.007294
20230111,0.987799,0.008662,1.007502,0.985807,-0.007496,0.016159
20230112,0.999706,0.012053,1.006514,0.998656,-0.000981,0.013034
20230113,1.025736,0.026038,1.019558,1.011716,0.012961,0.013078
20230116,1.051963,0.025569,1.034940,1.022322,0.015086,0.010482
20230117,1.060730,0.008334,1.031175,1.034561,-0.003638,0.011972
20230118,1.071464,0.010119,1.030140,1.046069,-0.001004,0.011123
20230119,1.100588,0.027181,1.040829,1.063647,0.010377,0.016804
20230120,1.094882,-0.005184,1.049256,1.049521,0.008096,-0.013281
20230130,1.073899,-0.019164,1.057546,1.021116,0.007901,-0.027065
20230131,1.062599,-0.010522,1.057263,1.010645,-0.000267,-0.010255
20230201,1.049387,-0.012434,1.075798,0.988548,0.017531,-0.021864
20230202,1.064150,0.014068,1.079436,0.999112,0.003382,0.010686
20230203,1.061396,-0.002587,1.082603,0.993596,0.002933,-0.005521
20230206,1.066575,0.004879,1.085710,0.995592,0.002870,0.002009
20230207,1.069102,0.002370,1.087313,0.996481,0.001477,0.000893
20230208,1.075923,0.006380,1.086653,1.003444,-0.000607,0.006988
20230209,1.080597,0.004344,1.102423,0.993241,0.014512,-0.010168
20230210,1.106587,0.024051,1.115966,1.004928,0.012285,0.011767
20230213,1.100481,-0.005518,1.129544,0.987156,0.012167,-0.017685
20230214,1.107151,0.006060,1.129960,0.992775,0.000368,0.005693
20230215,1.110751,0.003252,1.138968,0.988089,0.007972,-0.004720
