group,variant,ann_return,sharpe,max_drawdown,monthly_win_rate,avg_monthly_one_side_turnover,ann_cost,holdings_mcap_ratio,ret_2023,ret_2024,ret_2025,excess_IR,net_alpha_ann,net_alpha_ann_monthly,delist_count,long_ann_return,short_ann_return
A,A0_基线等权无过滤,0.175339,0.738053,-0.363478,0.611111,0.825545,0.061810,2.120010,0.121360,0.047232,0.357148,-0.836447,0.002130,-0.028456,1,,
A,A1_剔北交所,0.175339,0.738053,-0.363478,0.611111,0.825545,0.061810,2.120010,0.121360,0.047232,0.357148,-0.836447,0.002130,-0.028456,1,,
A,A2_剔BJ剔最小市值20%,0.133013,0.615308,-0.358635,0.527778,0.816279,0.061116,2.472913,0.054109,0.030545,0.319809,-1.256654,-0.013298,-0.019428,1,,
A,A3_A2+inv_vol加权,0.120926,0.588216,-0.355072,0.583333,0.823669,0.061670,2.577820,0.044003,0.024627,0.299444,-1.431836,-0.024868,-0.030068,1,,
A,A4_A2+score加权,0.130283,0.601739,-0.349416,0.583333,0.837093,0.062675,2.849286,0.033572,0.153197,0.194529,-1.071052,-0.015910,-0.024575,1,,
B,B1_全宇宙LS,0.343968,1.303852,-0.180531,0.583333,,0.118968,,,,,,,,0,0.231165,0.118186
B,B2_剔BJ剔小市值LS,0.258224,1.027931,-0.191792,0.527778,,0.116130,,,,,,,,1,0.177088,0.097211
