variant,excess_ann_geo,excess_IR,w_Q1,w_Q2,w_Q3,w_Q4,w_Q5,strat_2023,strat_2024,strat_2025,style_2023,style_2024,style_2025,net_2023,net_2024,net_2025,strat_ann_geo,style_ann_geo,net_alpha_ann,net_alpha_ann_monthly_geo,net_alpha_ann_monthly_arith
A0_基线等权无过滤,-0.050448,-0.836447,0.281925,0.247447,0.205667,0.142841,0.122120,0.121360,0.047232,0.357148,0.113374,0.019239,0.396754,0.007986,0.027992,-0.039606,0.168078,0.165948,0.002130,-0.028456,-0.026803
A1_剔北交所,-0.050448,-0.836447,0.281925,0.247447,0.205667,0.142841,0.122120,0.121360,0.047232,0.357148,0.113374,0.019239,0.396754,0.007986,0.027992,-0.039606,0.168078,0.165948,0.002130,-0.028456,-0.026803
A2_剔BJ剔最小市值20%,-0.084398,-1.256654,0.000000,0.363799,0.285502,0.197100,0.153598,0.054109,0.030545,0.319809,0.070115,0.027357,0.350785,-0.016006,0.003188,-0.030976,0.127598,0.140896,-0.013298,-0.019428,-0.017749
A3_A2+inv_vol加权,-0.094312,-1.431836,0.000000,0.363799,0.285502,0.197100,0.153598,0.044003,0.024627,0.299444,0.070115,0.027357,0.350785,-0.026112,-0.002730,-0.051340,0.116028,0.140896,-0.024868,-0.030068,-0.028608
A4_A2+score加权,-0.089089,-1.071052,0.000000,0.363799,0.285502,0.197100,0.153598,0.033572,0.153197,0.194529,0.070115,0.027357,0.350785,-0.036543,0.125840,-0.156256,0.124986,0.140896,-0.015910,-0.024575,-0.021718
