variant,year,excess
A0,2023,-0.018324
A0,2024,-0.047108
A0,2025,-0.113255
A1,2023,-0.018324
A1,2024,-0.047108
A1,2025,-0.113255
A2,2023,-0.085575
A2,2024,-0.063794
A2,2025,-0.150594
A3,2023,-0.095681
A3,2024,-0.069712
A3,2025,-0.170959
A4,2023,-0.106112
A4,2024,0.058858
A4,2025,-0.275874
