trade_date,A0,A1,A2,A3,A4,B1,B2,BENCH
20230407,1.113667,1.113667,1.092676,1.080776,1.086703,1.122343,1.060401,1.117346
20230410,1.101525,1.101525,1.075749,1.065079,1.066591,1.145727,1.097255,1.106254
20230411,1.106642,1.106642,1.085208,1.072261,1.075256,1.121911,1.079184,1.107620
20230412,1.118667,1.118667,1.097199,1.082332,1.087813,1.121074,1.078198,1.116613
20230413,1.113151,1.113151,1.091775,1.078304,1.080606,1.113185,1.076492,1.111638
20230414,1.111759,1.111759,1.089066,1.075133,1.077632,1.127390,1.088986,1.116387
20230417,1.106427,1.106427,1.080400,1.067647,1.068139,1.119580,1.079297,1.117035
20230418,1.103273,1.103273,1.075266,1.061985,1.060389,1.108773,1.063712,1.111069
20230419,1.099034,1.099034,1.075979,1.063786,1.061552,1.098114,1.045948,1.107051
20230420,1.089245,1.089245,1.069188,1.056748,1.057981,1.058062,1.011718,1.101765
20230421,1.058405,1.058405,1.042176,1.031580,1.028754,1.057051,1.019321,1.072822
20230424,1.057737,1.057737,1.045939,1.036692,1.030134,1.059089,1.028445,1.067782
20230425,1.036474,1.036474,1.026798,1.018511,1.009280,1.066061,1.021495,1.045281
20230426,1.044281,1.044281,1.030962,1.023913,1.011747,1.079332,1.044645,1.054451
20230427,1.052327,1.052327,1.037533,1.029934,1.012946,1.104542,1.073504,1.054739
20230428,1.070528,1.070528,1.057452,1.049041,1.034723,1.082884,1.038431,1.074357
20230504,1.086311,1.086311,1.072055,1.060821,1.051307,1.074199,1.030017,1.079893
20230505,1.079848,1.079848,1.064831,1.054593,1.041636,1.096950,1.055515,1.072409
20230508,1.081379,1.081379,1.066432,1.055943,1.045493,1.086721,1.052955,1.079128
20230509,1.063320,1.063320,1.048312,1.041164,1.023172,1.104502,1.069280,1.062384
20230510,1.066018,1.066018,1.050825,1.044509,1.025056,1.113180,1.082087,1.066436
20230511,1.078747,1.078747,1.062197,1.053143,1.038445,1.139116,1.109300,1.072509
20230512,1.070507,1.070507,1.052937,1.044468,1.030627,1.134492,1.109283,1.063229
20230515,1.070741,1.070741,1.053404,1.046527,1.025936,1.125040,1.098384,1.072139
20230516,1.057815,1.057815,1.041329,1.037776,1.008569,1.131363,1.106141,1.064628
20230517,1.068374,1.068374,1.052031,1.049181,1.016850,1.128532,1.105241,1.075050
20230518,1.082306,1.082306,1.062105,1.056824,1.027475,1.100289,1.069866,1.080455
20230519,1.083389,1.083389,1.059239,1.054469,1.022948,1.107905,1.086736,1.082614
20230522,1.088677,1.088677,1.059773,1.056021,1.021136,1.113016,1.096934,1.087419
20230523,1.083098,1.083098,1.054518,1.051605,1.013910,1.129899,1.111218,1.078849
20230524,1.082753,1.082753,1.054345,1.050636,1.013734,1.109657,1.090269,1.078521
20230525,1.076294,1.076294,1.053186,1.050453,1.005892,1.089245,1.063344,1.077810
20230526,1.080167,1.080167,1.055393,1.052504,1.011871,1.062989,1.042167,1.082518
20230529,1.072616,1.072616,1.044981,1.042539,1.002178,1.032951,1.020890,1.077891
20230530,1.077787,1.077787,1.047033,1.042391,1.007179,1.007606,0.983865,1.082179
20230531,1.081590,1.081590,1.047692,1.042454,1.009361,1.008325,0.983547,1.079987
20230601,1.087522,1.087522,1.055201,1.043951,1.035956,1.004999,0.982176,1.083265
20230602,1.098243,1.098243,1.063322,1.052494,1.046206,1.021835,0.995538,1.092120
20230605,1.104538,1.104538,1.067110,1.053829,1.050827,1.017996,0.989407,1.096069
20230606,1.085595,1.085595,1.047647,1.034694,1.033503,1.038895,0.998301,1.075035
20230607,1.092783,1.092783,1.053297,1.037916,1.040523,1.030280,0.988123,1.079815
20230608,1.082063,1.082063,1.042464,1.029075,1.028511,1.035916,0.998606,1.074228
20230609,1.083725,1.083725,1.042548,1.027582,1.034707,1.038995,0.998622,1.079912
20230612,1.088056,1.088056,1.048354,1.032686,1.036708,1.033315,0.992976,1.086973
20230613,1.099315,1.099315,1.057446,1.039050,1.047092,1.039302,0.995654,1.091333
20230614,1.100643,1.100643,1.062218,1.042433,1.051025,1.051173,0.996190,1.092184
20230615,1.099172,1.099172,1.065048,1.047682,1.049216,1.046645,0.997023,1.096282
20230616,1.105766,1.105766,1.071420,1.052389,1.054644,1.036114,0.982219,1.104009
20230619,1.099746,1.099746,1.066973,1.048869,1.045453,1.011337,0.953494,1.104294
20230620,1.092481,1.092481,1.058937,1.042270,1.034014,0.992648,0.944887,1.099634
20230621,1.071018,1.071018,1.039713,1.028870,1.003931,1.006355,0.967186,1.084505
20230626,1.047292,1.047292,1.015378,1.009798,0.976520,1.011096,0.974705,1.066062
20230627,1.070760,1.070760,1.038119,1.030141,0.998393,1.018906,0.978156,1.085701
20230628,1.062808,1.062808,1.031265,1.024895,0.986718,1.021341,0.988358,1.082966
20230629,1.073817,1.073817,1.041093,1.034735,0.996564,0.998194,0.971523,1.093567
20230630,1.087635,1.087635,1.055037,1.048907,1.009641,1.002448,0.976360,1.106253
20230703,1.087100,1.087100,1.054435,1.049687,1.008697,1.013521,0.987421,1.110862
20230704,1.097955,1.097955,1.061860,1.055720,1.014413,0.996887,0.977557,1.118609
20230705,1.098440,1.098440,1.059919,1.053020,1.011713,1.018695,1.001671,1.112465
20230706,1.102036,1.102036,1.060806,1.053341,1.012500,1.001236,0.986268,1.111493
20230707,1.092639,1.092639,1.054467,1.048563,1.007237,1.014810,0.997057,1.106085
20230710,1.097420,1.097420,1.059014,1.052513,1.012426,1.035942,1.020371,1.107094
20230711,1.108502,1.108502,1.069452,1.063161,1.019935,1.049659,1.041328,1.115906
20230712,1.093549,1.093549,1.053534,1.049408,1.005354,1.068175,1.073496,1.103588
20230713,1.104344,1.104344,1.064480,1.058325,1.016953,1.063856,1.058339,1.114645
20230714,1.111494,1.111494,1.069980,1.062600,1.023483,1.063997,1.050364,1.115317
20230717,1.113991,1.113991,1.073908,1.067859,1.030658,1.072539,1.056209,1.112777
20230718,1.114081,1.114081,1.073015,1.068223,1.027274,1.078169,1.072647,1.112811
20230719,1.115732,1.115732,1.074414,1.068682,1.029384,1.078654,1.080221,1.111206
20230720,1.106233,1.106233,1.065735,1.060664,1.025250,1.093754,1.099799,1.100069
20230721,1.106776,1.106776,1.067397,1.063356,1.028490,1.125809,1.131756,1.096634
20230724,1.107433,1.107433,1.067053,1.062225,1.028731,1.118172,1.123006,1.096107
20230725,1.124442,1.124442,1.083553,1.077235,1.045582,1.122991,1.130100,1.113924
20230726,1.126092,1.126092,1.079888,1.076473,1.040403,1.145061,1.159417,1.109911
20230727,1.123624,1.123624,1.077639,1.074889,1.039363,1.161836,1.173427,1.102799
20230728,1.126729,1.126729,1.081792,1.079807,1.045507,1.194978,1.200478,1.110776
20230731,1.145340,1.145340,1.099039,1.096079,1.064395,1.205732,1.217461,1.119881
20230801,1.133807,1.133807,1.090572,1.087783,1.053430,1.186883,1.201186,1.117250
20230802,1.140016,1.140016,1.095409,1.093615,1.060329,1.188777,1.197044,1.115848
20230803,1.132718,1.132718,1.089558,1.087307,1.053863,1.178139,1.180416,1.115163
20230804,1.132335,1.132335,1.091914,1.086742,1.055029,1.182334,1.173707,1.116317
20230807,1.119921,1.119921,1.080926,1.074253,1.044991,1.159966,1.165383,1.109980
20230808,1.117395,1.117395,1.075282,1.068795,1.039984,1.160788,1.164199,1.108077
20230809,1.106643,1.106643,1.064010,1.058372,1.029728,1.160587,1.171426,1.104587
20230810,1.109049,1.109049,1.063857,1.059438,1.028022,1.175016,1.183905,1.108616
20230811,1.093619,1.093619,1.046993,1.042687,1.012111,1.175981,1.186057,1.091480
20230814,1.098062,1.098062,1.050195,1.045987,1.016372,1.164901,1.180395,1.095314
20230815,1.092329,1.092329,1.040042,1.037835,1.007971,1.151852,1.188143,1.089750
20230816,1.081097,1.081097,1.027091,1.026914,0.993566,1.160050,1.190057,1.079983
20230817,1.098904,1.098904,1.044319,1.043266,1.012945,1.150797,1.180857,1.093740
20230818,1.091469,1.091469,1.030367,1.029920,1.001969,1.141796,1.185673,1.080590
20230821,1.082020,1.082020,1.018852,1.020062,0.989122,1.108319,1.169710,1.073551
20230822,1.080351,1.080351,1.020987,1.020122,0.989447,1.095506,1.145274,1.075520
20230823,1.064252,1.064252,1.003493,1.004615,0.972898,1.092053,1.145230,1.057450
20230824,1.063642,1.063642,1.003804,1.003503,0.973078,1.124191,1.148321,1.056261
20230825,1.036373,1.036373,0.979936,0.981755,0.948730,1.134355,1.157161,1.036179
20230828,1.045777,1.045777,0.990951,0.993205,0.959781,1.160499,1.167334,1.045501
20230829,1.097343,1.097343,1.032764,1.031861,1.002377,1.131477,1.144814,1.082322
